id,x,y,z,yaw,pitch,roll
1,1772.12,866.366,0,0.0219516,-0.00280459,-0.00516985
2,1772.27,866.363,0,0.0214036,-0.0033599,-0.006471
3,1772.88,866.358,0,0.0206812,0.000785461,-0.0194382
4,1773.21,866.345,0,0.0214704,0.00358944,-0.0221515
5,1773.65,866.349,0,0.0214677,0.00438156,-0.0223175
6,1774.02,866.341,0,0.0216451,0.00338294,-0.0227004
7,1774.44,866.346,0,0.0219618,0.00345345,-0.0215108
8,1774.86,866.325,0,0.0230881,0.00329159,-0.0198599
9,1775.25,866.327,0,0.0227713,0.00236517,-0.0197726
10,1775.76,866.343,0,0.0229335,-0.000753316,-0.0198729
11,1776.04,866.414,0,0.0210911,-0.00309086,-0.0191519
12,1776.31,866.419,0,0.0204489,-0.00534711,-0.0181128
13,1776.75,866.393,0,0.0207762,-0.00708,-0.0190986
14,1777.27,866.403,0,0.019913,-0.00767117,-0.0267044
15,1777.72,866.413,0,0.0207028,-0.00909748,-0.0288785
16,1778.13,866.431,0,0.0200305,-0.00953111,-0.027112
17,1778.52,866.439,0,0.0200513,-0.0112399,-0.0260334
18,1778.94,866.439,0,0.0202184,-0.015915,-0.0275494
19,1779.36,866.45,0,0.0207533,-0.0161725,-0.026941
20,1779.76,866.461,0,0.0215154,-0.0173881,-0.0280577
21,1780.19,866.48,0,0.0212425,-0.0193665,-0.0276962
22,1780.62,866.485,0,0.0205604,-0.0210479,-0.026889
23,1781.05,866.483,0,0.0205818,-0.0176233,-0.0313981
24,1781.46,866.487,0,0.0208221,-0.019556,-0.0309929
25,1781.87,866.492,0,0.0209138,-0.0220911,-0.0315133
26,1782.17,866.496,0,0.0215262,-0.0218404,-0.0325367
27,1782.77,866.502,0,0.0211091,-0.0236802,-0.0327569
28,1783.17,866.509,0,0.0212225,-0.0251913,-0.0317428
29,1783.61,866.516,0,0.0214644,-0.0272164,-0.0316432
30,1784.06,866.518,0,0.0218302,-0.029159,-0.0318773
31,1784.49,866.51,0,0.0224779,-0.0240527,-0.0328777
32,1784.87,866.512,0,0.0227315,-0.0251624,-0.0334771
33,1785.34,866.516,0,0.0228494,-0.0263277,-0.0343747
34,1785.71,866.523,0,0.0228207,-0.0280611,-0.0340605
35,1786.16,866.532,0,0.0230621,-0.0287145,-0.0341829
36,1786.63,866.528,0,0.0237425,-0.0292882,-0.0361268
37,1787.02,866.521,0,0.0244858,-0.0278534,-0.0383911
38,1787.26,866.526,0,0.0246174,-0.028671,-0.0381338
39,1787.9,866.529,0,0.0246102,-0.0178349,-0.0416671
40,1788.29,866.516,0,0.0249841,-0.0155087,-0.0451297
41,1788.72,866.526,0,0.0253666,-0.0180509,-0.0443841
42,1789.19,866.533,0,0.0258131,-0.0201878,-0.045158
43,1789.65,866.566,0,0.0259989,-0.0207159,-0.0398133
44,1790.13,866.582,0,0.0265482,-0.0238984,-0.0400886
45,1790.52,866.593,0,0.0268963,-0.0252451,-0.0404939
46,1790.77,866.605,0,0.0269376,-0.0266826,-0.0394652
47,1791.31,866.611,0,0.0272282,-0.0293486,-0.0399754
48,1791.53,866.607,0,0.0276913,-0.0298807,-0.0407965
49,1792.19,866.614,0,0.0281176,-0.0290206,-0.0423232
50,1792.64,866.628,0,0.0286252,-0.0294288,-0.0425124
51,1793.07,866.659,0,0.0289648,-0.0299305,-0.0379641
52,1793.52,866.665,0,0.0299704,-0.0234422,-0.0377686
53,1793.98,866.668,0,0.0300547,-0.0241541,-0.0383153
54,1794.32,866.673,0,0.0299987,-0.0242733,-0.0390089
55,1794.74,866.691,0,0.031294,-0.0273251,-0.0380044
56,1795.16,866.697,0,0.0312956,-0.0293871,-0.0376622
57,1795.58,866.697,0,0.0314129,-0.028661,-0.0385555
58,1796.04,866.705,0,0.0316769,-0.0287339,-0.0373703
59,1796.47,866.715,0,0.0322995,-0.0275769,-0.036374
60,1796.87,866.728,0,0.0324849,-0.0284384,-0.033224
61,1797.35,866.786,0,0.0336711,-0.024538,-0.023414
62,1797.76,866.822,0,0.0341571,-0.0230892,-0.0221387
